Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
npv/non-persistent-vote/n2=110/sigma=1.0e-2/sortition-check,5.187596076980475e-6,5.128140124097446e-6,5.236693120619302e-6,1.1768598692500011e-7,8.955507683915146e-8,1.580562698663257e-7
npv/non-persistent-vote/n2=110/sigma=5.0e-2/create-win,3.9905015093755214e-4,3.978638534883116e-4,4.001464477741433e-4,3.258763364001434e-6,2.6929894956198528e-6,4.364988749661117e-6
npv/non-persistent-vote/n2=110/sigma=5.0e-2/verify,1.6667532451763965e-3,1.6609045866862796e-3,1.6731461661942631e-3,2.036613073073551e-5,1.5985206303330932e-5,3.0732977790913913e-5
npv/non-persistent-vote/n2=110/sigma=5.0e-2/sortition-check,8.096095554865539e-6,8.008161924784015e-6,8.145608984533021e-6,1.3944043365981653e-7,8.192031382920325e-8,1.9869054479692558e-7
npv/non-persistent-vote/n2=110/sigma=0.1/create-win,3.8416512101772953e-4,3.83726918615837e-4,3.846126655254074e-4,1.3068738690792506e-6,1.0255326483317083e-6,1.7557846708563987e-6
npv/non-persistent-vote/n2=110/sigma=0.1/verify,1.607557895116613e-3,1.6043061382927635e-3,1.6121818974536503e-3,1.2572740478610041e-5,8.642690032226292e-6,1.7795991785237177e-5
npv/non-persistent-vote/n2=110/sigma=0.1/sortition-check,1.2149396713856645e-5,1.2118234445365209e-5,1.219213104872286e-5,7.747505717291645e-8,5.673796982106618e-8,1.1594526086789874e-7
npv/non-persistent-vote/n2=110/sigma=0.25/create-win,4.021601324621584e-4,4.012142760331836e-4,4.033006490870557e-4,3.0359404002741795e-6,2.313561809611204e-6,4.103604162177722e-6
npv/non-persistent-vote/n2=110/sigma=0.25/verify,1.653319754084685e-3,1.648511326904276e-3,1.65955047233722e-3,1.8194204490245723e-5,1.4033525494899346e-5,2.325844903775152e-5
npv/non-persistent-vote/n2=110/sigma=0.25/sortition-check,2.4856538529546305e-5,2.4770930444640465e-5,2.5012846673001498e-5,2.3717044767916722e-7,1.3961768103339965e-7,4.242189878576858e-7
npv/non-persistent-vote/n2=110/sigma=0.5/create-win,4.2596012213940435e-4,4.243165855707821e-4,4.2838877866228014e-4,5.6436429532524445e-6,4.1178832521259705e-6,7.848881842761682e-6
npv/non-persistent-vote/n2=110/sigma=0.5/verify,1.665976194835471e-3,1.6623446022918952e-3,1.6697310100312526e-3,1.2099571228208134e-5,1.0046956431507154e-5,1.5140637502442104e-5
npv/non-persistent-vote/n2=110/sigma=0.5/sortition-check,4.530082673494477e-5,4.515519411427381e-5,4.551717451928845e-5,3.7596287578539027e-7,2.5373724785753193e-7,5.261998062416791e-7
npv/non-persistent-vote/n2=130/sigma=5.0e-3/create-win,3.8267585509830636e-4,3.8053554138846584e-4,3.868536659350697e-4,7.188292262998085e-6,4.16861076401403e-6,1.0008635056917336e-5
npv/non-persistent-vote/n2=130/sigma=5.0e-3/create-lose,2.596098356487176e-4,2.586882649802612e-4,2.6086909736429057e-4,2.3903401819314777e-6,1.7930636659099561e-6,3.378334422426474e-6
npv/non-persistent-vote/n2=130/sigma=5.0e-3/verify,1.62345442548698e-3,1.6180482961939836e-3,1.6312483630362882e-3,2.0703615226403803e-5,1.473223763114638e-5,2.8577357841978865e-5
